objectid;creationdate;species;dbh;treelatitude;treelongitude;centerlatitude;centerlongitude;comments;globalid;speed;traveldirection;compass;sourcetype;receivername;accuracyhorizontal;accuracyvertical;altitude;fixtype;correctionage;fixtime;editdate
1;11/13/2021 12:43;1;15;467361.2482770114;258740.03841943332;467357.28300707904;258740.30418429791;None;01cb7656-1d83-4e8c-bef1-2d50e4cabf87;0.040419655;6.50494071;120.9424438;3;"R2; 5834S09961: ITC-GIP";0.886871778;0.809602395;89.39658207;2;5;11/13/2021 12:43;11/13/2021 12:43
2;11/13/2021 12:44;1;10;467359.9460439315;258736.46880645974;467356.7653116255;258736.68205203902;None;7119b923-a23f-450c-9b66-f54d74f9bbf6;0.057539836;171.9087225;99.92397308;3;"R2; 5834S09961: ITC-GIP";0.916636519;0.85858352;89.90063498;2;37;11/13/2021 12:44;11/13/2021 12:44
3;11/13/2021 12:45;1;12;467357.23403594695;258730.8916775246;467355.9500552525;258730.97795219565;Omgezaagd;957587d0-0b3b-496f-a26a-873fed601fc4;0.093524397;340.2000662;19.79524422;3;"R2; 5834S09961: ITC-GIP";1.176256902;1.25256598;90.5043591;2;97;11/13/2021 12:45;11/13/2021 12:45
4;11/13/2021 12:46;1;17;467356.0801112626;258724.78195543296;467355.0741733618;258724.8496209492;None;68bdd741-88b0-4afd-ad19-b6b41315be60;0.169274888;177.223131;142.683136;3;"R2; 5834S09961: ITC-GIP";1.103713857;1.038664597;91.7365864;2;5;11/13/2021 12:46;11/13/2021 12:46
5;11/13/2021 12:47;1;17;467355.53116368875;258720.0312484405;467354.39642263716;258720.10752722478;None;d80e12c5-6eea-4cd1-9e33-7dee7e503926;0.076522209;102.4379781;146.6884155;3;"R2; 5834S09961: ITC-GIP";0.882959533;0.80102549;89.61106601;2;4;11/13/2021 12:47;11/13/2021 12:47
6;11/13/2021 12:48;1;13;467352.22054592276;258714.14086294686;467353.19367658155;258714.0400781011;Krommend;0da72359-28c4-4a23-9a18-6e7029c09b6c;0.105008769;158.3171944;149.0413818;3;"R2; 5834S09961: ITC-GIP";1.036887842;1.153907128;90.27902958;2;14;11/13/2021 12:48;11/13/2021 12:48
7;11/13/2021 12:49;1;16;467352.0692240553;258708.5005936791;467351.8621253823;258708.52249285797;None;bfa1bc2e-0529-4c88-9d7d-2804bf06ad2f;0.14134875;357.6987552;129.6928101;3;"R2; 5834S09961: ITC-GIP";1.199643212;1.297354713;89.2365147;2;5;11/13/2021 12:48;11/13/2021 12:49
8;11/13/2021 12:50;1;9;467347.42735411454;258700.79345181357;467349.9341076626;258700.53326269914;None;dec9bb14-83c8-4c1a-b237-7ad7c1ad24ad;0.010546162;23.3501419;123.1384277;3;"R2; 5834S09961: ITC-GIP";1.150449925;1.009791654;93.64727348;2;43;11/13/2021 12:50;11/13/2021 12:50
9;11/13/2021 12:51;1;14;467346.6188471338;258698.47906107712;467348.9898785217;258698.07525272822;None;71acdcde-c8f0-4f72-b995-b5882bd9cd3e;0.260222849;186.0587212;127.1759491;3;"R2; 5834S09961: ITC-GIP";1.001525139;0.843448295;92.69018672;2;67;11/13/2021 12:51;11/13/2021 12:51
10;11/13/2021 12:52;1;12;467347.1880609218;258692.16836632136;467346.56042222556;258692.27585905397;None;c6bc1c54-d9b9-4da6-b3d1-1eff1161db07;0.099600515;218.7958243;129.0705719;3;"R2; 5834S09961: ITC-GIP";1.195340509;1.496353687;91.38037266;2;5;11/13/2021 12:51;11/13/2021 12:52
11;11/13/2021 12:52;1;18;467341.1363543144;258685.53228415071;467343.2357883317;258685.08672573336;None;0a2cc41c-03be-4a01-92d4-46bffcffecd1;0.21987847;184.9428016;139.3828125;3;"R2; 5834S09961: ITC-GIP";0.901771274;0.872191579;90.57347769;2;5;11/13/2021 12:52;11/13/2021 12:52
12;11/13/2021 12:53;1;13;467341.9507161667;258681.0992024435;467341.20197619265;258681.25881912987;None;1755d052-eb17-4d92-ba5b-e083473a624e;0.133148932;123.5587852;144.1031189;3;"R2; 5834S09961: ITC-GIP";0.971882092;1.060235615;90.09615591;2;5;11/13/2021 12:53;11/13/2021 12:53
13;11/13/2021 12:54;1;16;467339.58053351624;258673.3951731507;467337.2835270157;258673.88374886732;None;ef862b94-3e62-4c78-8193-ea23c848d7a8;0.205220342;245.7787381;148.5987701;3;"R2; 5834S09961: ITC-GIP";0.898706289;0.822287108;88.19563161;2;5;11/13/2021 12:54;11/13/2021 12:54
14;11/13/2021 12:55;1;15;467335.6077415336;258667.6105863839;467333.9115992386;258668.03097820864;None;0f11f544-1e50-4e82-99d7-9e4544d4f36f;0.09434416;105.8818498;135.8206177;3;"R2; 5834S09961: ITC-GIP";0.999109522;0.975821609;90.54845794;2;13;11/13/2021 12:55;11/13/2021 12:55
