objectid,treelatitude,treelongitude,centerlatitude,centerlongitude,dbh,species,creationdate,roadsidebydate,roadsidebycoord,isatcorrectsideofroad,truetreelongitude,truetreelatitude
1,467361.2482770114,258740.03841943332,467357.28300707904,258740.30418429791,15,1,11/13/2021 12:43,N/W,N/W,True,258739.88837288463,467363.48700434976
2,467359.9460439315,258736.46880645974,467356.7653116255,258736.68205203902,10,1,11/13/2021 12:44,N/W,N/W,True,258736.32415087786,467362.10370030184
3,467357.23403594695,258730.8916775246,467355.9500552525,258730.97795219565,12,1,11/13/2021 12:45,N/W,N/W,True,258730.74452044925,467359.4240975432
4,467356.0801112626,258724.78195543296,467355.0741733618,258724.8496209492,17,1,11/13/2021 12:46,N/W,N/W,True,258724.62918620958,467358.35122896696
5,467355.53116368875,258720.0312484405,467354.39642263716,258720.10752722478,17,1,11/13/2021 12:47,N/W,N/W,True,258719.87858046702,467357.80228820146
6,467352.22054592276,258714.14086294686,467353.19367658155,258714.0400781011,13,1,11/13/2021 12:48,N/W,S/E,False,258713.9130674407,467354.4200312648
7,467352.0692240553,258708.5005936791,467351.8621253823,258708.52249285797,16,1,11/13/2021 12:49,N/W,N/W,True,258708.26294008282,467354.31669391453
8,467347.42735411454,258700.79345181357,467349.9341076626,258700.53326269914,9,1,11/13/2021 12:50,N/W,S/E,False,258700.5718716498,467349.5621354367
9,467346.6188471338,258698.47906107712,467348.9898785217,258698.07525272822,14,1,11/13/2021 12:51,N/W,S/E,False,258698.10508233457,467348.8147287677
10,467347.1880609218,258692.16836632136,467346.56042222556,258692.27585905397,12,1,11/13/2021 12:52,N/W,N/W,True,258691.79783389496,467349.35156056844
11,467341.1363543144,258685.53228415071,467343.2357883317,258685.08672573336,18,1,11/13/2021 12:52,N/W,S/E,False,258685.0563518606,467343.37890748103
12,467341.9507161667,258681.0992024435,467341.20197619265,258681.25881912987,13,1,11/13/2021 12:53,N/W,N/W,True,258680.63816697462,467344.11337029043
13,467339.58053351624,258673.3951731507,467337.2835270157,258673.88374886732,16,1,11/13/2021 12:54,N/W,N/W,True,258672.92498712183,467341.79108211293
14,467335.6077415336,258667.6105863839,467333.9115992386,258668.03097820864,15,1,11/13/2021 12:55,N/W,N/W,True,258667.07080156618,467337.7855951589
15,467333.0985283546,258662.9455648963,467331.04888400243,258663.4534472156,17,1,11/13/2021 12:56,N/W,N/W,True,258662.39808903172,467335.3079591049
16,467329.57698984764,258656.7567527515,467327.22526417003,258657.33939439573,12,1,11/13/2021 12:56,N/W,N/W,True,258656.22889870638,467331.707575473
17,467326.97520595556,258651.86981709057,467324.17663977866,258652.72167832288,14,1,11/13/2021 12:57,N/W,N/W,True,258651.22116838564,467329.1061707858
18,467322.0183162409,258648.14634300134,467320.8856461573,258648.49150823517,20,1,11/13/2021 12:58,N/W,N/W,True,258647.4686023753,467324.2423424646
19,467320.527819317,258641.31436653854,467316.30234221934,258642.60021398243,19,1,11/13/2021 13:02,N/W,N/W,True,258640.642227208,467322.7365644999
20,467316.1196241279,258636.84661063936,467312.64812496706,258637.9031362661,13,1,11/13/2021 13:03,N/W,N/W,True,258636.2027893301,467318.2350722328
21,467317.0258772908,258636.96914210636,467312.89862180327,258638.22512166307,13,1,11/13/2021 13:12,N/W,N/W,True,258636.32537744628,467319.1413426356
22,467313.055716206,258633.06378919585,467309.68203484983,258634.09055781318,14,1,11/13/2021 13:13,N/W,N/W,True,258632.4152289914,467315.1867079731
23,467309.8100672764,258627.98621964926,467305.92134755565,258629.13647468487,16,1,11/13/2021 13:14,N/W,N/W,True,258627.3451833292,467311.9772480341
24,467305.09919631534,258623.67923580756,467302.4034321061,258624.47681886473,20,1,11/13/2021 13:15,N/W,N/W,True,258623.01961385735,467307.32866348996
25,467300.4744640456,258617.58161252865,467297.7960330149,258618.3740683351,19,1,11/13/2021 13:16,N/W,N/W,True,258616.92660005263,467302.68834869
26,467297.8328703669,258614.99551811616,467295.3054756792,258616.25489401695,10,1,11/13/2021 13:17,N/W,N/W,True,258614.0310671681,467299.7683911286
27,467293.5490440845,258610.5652813621,467290.1150666825,258612.27606291906,20,0,11/13/2021 13:19,N/W,N/W,True,258609.52852014478,467295.63008977793
28,467279.5829650063,258602.62738994148,467278.2136595988,258603.34320357788,15,1,11/14/2021 14:33,N/W,N/W,True,258601.5879172838,467281.5714092867
29,467274.3911288817,258596.76423777494,467270.8716613717,258599.4133347926,9,1,11/14/2021 14:34,N/W,N/W,True,258595.4735284824,467276.1059054224
30,467270.3661791877,258595.13942881813,467267.15131011774,258597.55941742816,10,1,11/14/2021 14:35,N/W,N/W,True,258593.83889144135,467272.0938969834
31,467264.09901557217,258592.72714275104,467261.53017255454,258594.7582981696,13,1,11/14/2021 14:36,N/W,N/W,True,258591.3556562809,467265.83356203296
